# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   99       3.551160123169e-10       1.016732363900e-13      -3.003518238051e-12       0.000000000000e+00       1.052806769944e-11       1.432297393889e-12      -7.233820277801e-15 
  100       3.592524697708e-10       1.036673825957e-13      -3.092015800854e-12       0.000000000000e+00       1.025681210612e-11       1.402854944459e-12      -7.191526649181e-15 
  101       3.634164164960e-10       1.056424265614e-13      -3.180628868787e-12       0.000000000000e+00       9.994952594275e-12       1.374340734204e-12      -7.146978867852e-15 
  102       3.676068913348e-10       1.075963341097e-13      -3.269286571634e-12       0.000000000000e+00       9.741772827242e-12       1.346667451162e-12      -7.099047946394e-15 
  103       3.718227293182e-10       1.095270444705e-13      -3.357916789911e-12       0.000000000000e+00       9.496429786438e-12       1.319733262829e-12      -7.046511774027e-15 
  104       3.760628087671e-10       1.114325236562e-13      -3.446447056893e-12       0.000000000000e+00       9.258144985058e-12       1.293445587595e-12      -6.988364565536e-15 
  105       3.803268459703e-10       1.133109319202e-13      -3.534807371084e-12       0.000000000000e+00       9.026815770801e-12       1.267797006379e-12      -6.924797916603e-15 
  106       3.846146950616e-10       1.151604797844e-13      -3.622927793458e-12       0.000000000000e+00       8.802479849897e-12       1.242798839484e-12      -6.856348476465e-15 
  107       3.889260990882e-10       1.169793780704e-13      -3.710737618865e-12       0.000000000000e+00       8.585125955907e-12       1.218457685916e-12      -6.783599010542e-15 
  108       3.932606856741e-10       1.187658388884e-13      -3.798165400814e-12       0.000000000000e+00       8.374692165421e-12       1.194775252881e-12      -6.707179458674e-15 
  109       3.976179626823e-10       1.205180766275e-13      -3.885138976243e-12       0.000000000000e+00       8.171064213759e-12       1.171748185286e-12      -6.627767993355e-15 
  110       4.019973138779e-10       1.222343089452e-13      -3.971585490300e-12       0.000000000000e+00       7.974073810670e-12       1.149367895239e-12      -6.546092077977e-15 
  111       4.063979945906e-10       1.239127577568e-13      -4.057431421116e-12       0.000000000000e+00       7.783496956033e-12       1.127620391546e-12      -6.462929525067e-15 
  112       4.108191273776e-10       1.255516502257e-13      -4.142602604583e-12       0.000000000000e+00       7.599052255553e-12       1.106486109213e-12      -6.379109554521e-15 
  113       4.152596976864e-10       1.271492197524e-13      -4.227024259134e-12       0.000000000000e+00       7.420399236464e-12       1.085939738941e-12      -6.295513851848e-15 
  114       4.197185495177e-10       1.287037069648e-13      -4.310621010511e-12       0.000000000000e+00       7.247136663229e-12       1.065950056629e-12      -6.213077626402e-15 
  115       4.241943810875e-10       1.302133607075e-13      -4.393316916550e-12       0.000000000000e+00       7.078800853235e-12       1.046479752872e-12      -6.132790669626e-15 
  116       4.286859252379e-10       1.316764863469e-13      -4.475036288735e-12       0.000000000000e+00       6.914967389090e-12       1.027493907310e-12      -6.055490653721e-15 
  117       4.331925248223e-10       1.330915952321e-13      -4.555706217223e-12       0.000000000000e+00       6.755573885696e-12       1.008986945061e-12      -5.981212254697e-15 
  118       4.377136194572e-10       1.344572753487e-13      -4.635254400773e-12       0.000000000000e+00       6.600633485364e-12       9.909586527654e-13      -5.909760513820e-15 
  119       4.422485643594e-10       1.357721470222e-13      -4.713608408903e-12       0.000000000000e+00       6.450134210811e-12       9.734057339425e-13      -5.840910746180e-15 
  120       4.467966276429e-10       1.370348643261e-13      -4.790695713718e-12       0.000000000000e+00       6.304038195072e-12       9.563217149279e-13      -5.774407761980e-15 
  121       4.513569876149e-10       1.382441164900e-13      -4.866443721725e-12       0.000000000000e+00       6.162280911397e-12       9.396968508075e-13      -5.709965087816e-15 
  122       4.559287300720e-10       1.393986293077e-13      -4.940779805659e-12       0.000000000000e+00       6.024770403162e-12       9.235180313521e-13      -5.647264187962e-15 
  123       4.605108455965e-10       1.404971665450e-13      -5.013631336303e-12       0.000000000000e+00       5.891386513769e-12       9.077686869522e-13      -5.585953685653e-15 
  124       4.651022268528e-10       1.415385313479e-13      -5.084925714308e-12       0.000000000000e+00       5.761980116553e-12       8.924286945526e-13      -5.525648584369e-15 
  125       4.697016658832e-10       1.425215676506e-13      -5.154590402016e-12       0.000000000000e+00       5.636372344687e-12       8.774742835867e-13      -5.465929489117e-15 
  126       4.743078514046e-10       1.434451615838e-13      -5.222552955283e-12       0.000000000000e+00       5.514353821084e-12       8.628779419117e-13      -5.406341827718e-15 
  127       4.789193661047e-10       1.443082428821e-13      -5.288741055295e-12       0.000000000000e+00       5.395683888306e-12       8.486083217430e-13      -5.346395072086e-15 
  128       4.835346839377e-10       1.451097862930e-13      -5.353082540394e-12       0.000000000000e+00       5.280089838464e-12       8.346301455886e-13      -5.285561959515e-15 
  129       4.881523263577e-10       1.458488531880e-13      -5.415506202859e-12       0.000000000000e+00       5.167325556598e-12       8.209123798324e-13      -5.223399871392e-15 
  130       4.927713561356e-10       1.465247185711e-13      -5.475944210474e-12       0.000000000000e+00       5.057356360108e-12       8.074539690586e-13      -5.159931678078e-15 
  131       4.973909328569e-10       1.471367607290e-13      -5.534330011983e-12       0.000000000000e+00       4.950193075505e-12       7.942607601919e-13      -5.095305396045e-15 
  132       5.020101572904e-10       1.476844239557e-13      -5.590597632869e-12       0.000000000000e+00       4.845834101008e-12       7.813374533467e-13      -5.029675869965e-15 
  133       5.066280698214e-10       1.481672202480e-13      -5.644681712646e-12       0.000000000000e+00       4.744265061585e-12       7.686875669226e-13      -4.963204868109e-15 
  134       5.112436488853e-10       1.485847310008e-13      -5.696517542162e-12       0.000000000000e+00       4.645458464001e-12       7.563134026990e-13      -4.896061177742e-15 
  135       5.158558094016e-10       1.489366087035e-13      -5.746041100886e-12       0.000000000000e+00       4.549373351865e-12       7.442160109299e-13      -4.828420700520e-15 
  136       5.204634012067e-10       1.492225786353e-13      -5.793189094211e-12       0.000000000000e+00       4.455954960676e-12       7.323951554393e-13      -4.760466547891e-15 
  137       5.250652074880e-10       1.494424405611e-13      -5.837898990741e-12       0.000000000000e+00       4.365134372864e-12       7.208492787156e-13      -4.692389136490e-15 
  138       5.296599432172e-10       1.495960704272e-13      -5.880109059592e-12       0.000000000000e+00       4.276828172843e-12       7.095754670068e-13      -4.624386283537e-15 
  139       5.342462535838e-10       1.496834220568e-13      -5.919758407686e-12       0.000000000000e+00       4.190938102051e-12       6.985694154152e-13      -4.556663302234e-15 
  140       5.388227124289e-10       1.497045288461e-13      -5.956787017044e-12       0.000000000000e+00       4.107350713998e-12       6.878253929927e-13      -4.489433097164e-15 
  141       5.433878206781e-10       1.496595054599e-13      -5.991135782084e-12       0.000000000000e+00       4.025937029311e-12       6.773362078351e-13      -4.422916259686e-15 
  142       5.479400047760e-10       1.495485495272e-13      -6.022746546913e-12       0.000000000000e+00       3.946552190782e-12       6.670931721778e-13      -4.357341163338e-15 
  143       5.524776151189e-10       1.493719433371e-13      -6.051562142627e-12       0.000000000000e+00       3.869035118411e-12       6.570860674899e-13      -4.292944059225e-15 
  144       5.569990580857e-10       1.491300678529e-13      -6.077526958950e-12       0.000000000000e+00       3.793242296719e-12       6.473052062168e-13      -4.229918535032e-15 
  145       5.615032101075e-10       1.488234427330e-13      -6.100588643957e-12       0.000000000000e+00       3.719153619073e-12       6.377479197755e-13      -4.168258074960e-15 
