# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[2]-dens[2]        4:dens[3]-dens[3]    
  180       1.361340188849e-02       1.059184000790e-02       8.586310864173e-03 
  181       1.365438163367e-02       1.062184307383e-02       8.609483414558e-03 
  182       1.369514947380e-02       1.065183094944e-02       8.632633645292e-03 
  183       1.373569793477e-02       1.068180132576e-02       8.655764042177e-03 
  184       1.377601859189e-02       1.071175111578e-02       8.678876643284e-03 
  185       1.381610205015e-02       1.074167643760e-02       8.701973027740e-03 
  186       1.385593792455e-02       1.077157259769e-02       8.725054304524e-03 
  187       1.389551482033e-02       1.080143407405e-02       8.748121101257e-03 
  188       1.393482031331e-02       1.083125449940e-02       8.771173552995e-03 
  189       1.397384093012e-02       1.086102664442e-02       8.794211291021e-03 
  190       1.401256212848e-02       1.089074240094e-02       8.817233431637e-03 
  191       1.405096827756e-02       1.092039276509e-02       8.840238564954e-03 
  192       1.408904263815e-02       1.094996782057e-02       8.863224743688e-03 
  193       1.412676734304e-02       1.097945672181e-02       8.886189471947e-03 
  194       1.416412337724e-02       1.100884767718e-02       8.909129694028e-03 
  195       1.420109055829e-02       1.103812793218e-02       8.932041783204e-03 
  196       1.423764751654e-02       1.106728375267e-02       8.954921530522e-03 
  197       1.427377167542e-02       1.109630040802e-02       8.977764133589e-03 
  198       1.430943923173e-02       1.112516215435e-02       9.000564185368e-03 
  199       1.434462513593e-02       1.115385221772e-02       9.023315662966e-03 
  200       1.437930307242e-02       1.118235277733e-02       9.046011916433e-03 
  201       1.441345092672e-02       1.121064806554e-02       9.068646857829e-03 
  202       1.444706766333e-02       1.123873394965e-02       9.091218646422e-03 
  203       1.448015761687e-02       1.126660900299e-02       9.113726245421e-03 
  204       1.451272511004e-02       1.129427144201e-02       9.136168237746e-03 
  205       1.454477445011e-02       1.132171911873e-02       9.158542818361e-03 
  206       1.457630992541e-02       1.134894951315e-02       9.180847786619e-03 
  207       1.460733580189e-02       1.137595972566e-02       9.203080538599e-03 
  208       1.463785631952e-02       1.140274646943e-02       9.225238059446e-03 
  209       1.466787568889e-02       1.142930606286e-02       9.247316915710e-03 
  210       1.469739808762e-02       1.145563442195e-02       9.269313247686e-03 
  211       1.472642765693e-02       1.148172705275e-02       9.291222761753e-03 
  212       1.475496849809e-02       1.150757904374e-02       9.313040722713e-03 
  213       1.478302466896e-02       1.153318505826e-02       9.334761946132e-03 
  214       1.481060018044e-02       1.155853932693e-02       9.356380790679e-03 
  215       1.483769899302e-02       1.158363564003e-02       9.377891150463e-03 
  216       1.486432501325e-02       1.160846733995e-02       9.399286447376e-03 
  217       1.489048209023e-02       1.163302731356e-02       9.420559623431e-03 
  218       1.491617401214e-02       1.165730798465e-02       9.441703133101e-03 
  219       1.494140450271e-02       1.168130130637e-02       9.462708935658e-03 
  220       1.496617721774e-02       1.170499875355e-02       9.483568487515e-03 
  221       1.499049574159e-02       1.172839131522e-02       9.504272734562e-03 
  222       1.501436358368e-02       1.175146948693e-02       9.524812104509e-03 
  223       1.503778417497e-02       1.177422326325e-02       9.545176499221e-03 
  224       1.506076215166e-02       1.179664466860e-02       9.565357270101e-03 
  225       1.508330730508e-02       1.181873554663e-02       9.585353301192e-03 
  226       1.510543087899e-02       1.184050025706e-02       9.605165302401e-03 
  227       1.512714430482e-02       1.186194318066e-02       9.624793858697e-03 
  228       1.514845920121e-02       1.188306871771e-02       9.644239427174e-03 
  229       1.516938737361e-02       1.190388128644e-02       9.663502334109e-03 
  230       1.518994081383e-02       1.192438532150e-02       9.682582772027e-03 
  231       1.521013169957e-02       1.194458527243e-02       9.701480796757e-03 
  232       1.522997239405e-02       1.196448560207e-02       9.720196324495e-03 
  233       1.524947544551e-02       1.198409078506e-02       9.738729128869e-03 
  234       1.526865358681e-02       1.200340530629e-02       9.757078837992e-03 
  235       1.528751973498e-02       1.202243365933e-02       9.775244931530e-03 
  236       1.530608699080e-02       1.204118034490e-02       9.793226737759e-03 
  237       1.532436863833e-02       1.205964986933e-02       9.811023430630e-03 
  238       1.534237814452e-02       1.207784674304e-02       9.828634026823e-03 
  239       1.536012915872e-02       1.209577547892e-02       9.846057382816e-03 
  240       1.537763551229e-02       1.211344059087e-02       9.863292191940e-03 
  241       1.539491121814e-02       1.213084659222e-02       9.880336981444e-03 
  242       1.541197047031e-02       1.214799799416e-02       9.897190109551e-03 
  243       1.542882764350e-02       1.216489930425e-02       9.913849762527e-03 
  244       1.544549729269e-02       1.218155502483e-02       9.930313951732e-03 
  245       1.546199415263e-02       1.219796965151e-02       9.946580510691e-03 
  246       1.547833313748e-02       1.221414767159e-02       9.962647092146e-03 
  247       1.549452934032e-02       1.223009356256e-02       9.978511165123e-03 
  248       1.551059803273e-02       1.224581179050e-02       9.994170011990e-03 
  249       1.552655466436e-02       1.226130680860e-02       1.000962072552e-02 
  250       1.554241267967e-02       1.227658299492e-02       1.002486115694e-02 
  251       1.555817682940e-02       1.229164446512e-02       1.003989282680e-02 
  252       1.557384947214e-02       1.230649524595e-02       1.005471817641e-02 
  253       1.558943271791e-02       1.232113933323e-02       1.006933963088e-02 
