# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[2]-dens[2]    
  196       1.478379312847e-02       1.182954912504e-02 
  197       1.482058287361e-02       1.185342266426e-02 
  198       1.485690351261e-02       1.187663998508e-02 
  199       1.489273033131e-02       1.189924811178e-02 
  200       1.492803733950e-02       1.192129592085e-02 
  201       1.496280275263e-02       1.194283004930e-02 
  202       1.499702591489e-02       1.196388225142e-02 
  203       1.503071154760e-02       1.198448117741e-02 
  204       1.506386435247e-02       1.200465641259e-02 
  205       1.509648900773e-02       1.202443848581e-02 
  206       1.512859016432e-02       1.204385887777e-02 
  207       1.516017244213e-02       1.206295002934e-02 
  208       1.519124042614e-02       1.208174534992e-02 
  209       1.522179866267e-02       1.210027922583e-02 
  210       1.525185165554e-02       1.211858702856e-02 
  211       1.528140386224e-02       1.213670512320e-02 
  212       1.531045969020e-02       1.215467087675e-02 
  213       1.533902349291e-02       1.217252266646e-02 
  214       1.536709956615e-02       1.219029988818e-02 
  215       1.539469214419e-02       1.220804296471e-02 
  216       1.542180539595e-02       1.222579335413e-02 
  217       1.544844342124e-02       1.224359355816e-02 
  218       1.547461024693e-02       1.226148713051e-02 
  219       1.550030982312e-02       1.227951868519e-02 
  220       1.552554601940e-02       1.229773390489e-02 
  221       1.555032262097e-02       1.231617954932e-02 
  222       1.557464332488e-02       1.233490346353e-02 
  223       1.559851173623e-02       1.235395458628e-02 
  224       1.562193266034e-02       1.237337656563e-02 
  225       1.564491607956e-02       1.239318813251e-02 
  226       1.566747342482e-02       1.241340148127e-02 
  227       1.568961630192e-02       1.243402854217e-02 
  228       1.571135649076e-02       1.245508097448e-02 
  229       1.573270594466e-02       1.247657015963e-02 
  230       1.575367678963e-02       1.249850719430e-02 
  231       1.577428132365e-02       1.252090288358e-02 
  232       1.579453201595e-02       1.254376773407e-02 
  233       1.581444150626e-02       1.256711194701e-02 
  234       1.583402260417e-02       1.259094541139e-02 
  235       1.585328828832e-02       1.261527769711e-02 
  236       1.587225170573e-02       1.264011804807e-02 
  237       1.589092617106e-02       1.266547537530e-02 
  238       1.590932516593e-02       1.269135825009e-02 
  239       1.592746233813e-02       1.271777489711e-02 
  240       1.594535150096e-02       1.274473318754e-02 
  241       1.596300663250e-02       1.277224063218e-02 
  242       1.598044187486e-02       1.280030437460e-02 
  243       1.599767153349e-02       1.282893118422e-02 
  244       1.601471007644e-02       1.285812744949e-02 
  245       1.603157213367e-02       1.288789917094e-02 
  246       1.604827249630e-02       1.291825195439e-02 
  247       1.606482611589e-02       1.294919100401e-02 
  248       1.608124810375e-02       1.298072111546e-02 
  249       1.609755373019e-02       1.301284666903e-02 
  250       1.611375627914e-02       1.304556834282e-02 
  251       1.612986047609e-02       1.307887305629e-02 
  252       1.614586867942e-02       1.311274343287e-02 
  253       1.616178298611e-02       1.314716101458e-02 
  254       1.617760522691e-02       1.318210624888e-02 
  255       1.619333696156e-02       1.321755847553e-02 
  256       1.620897947394e-02       1.325349591343e-02 
  257       1.622453376727e-02       1.328989564747e-02 
  258       1.624000055926e-02       1.332673361537e-02 
  259       1.625538027730e-02       1.336398459457e-02 
  260       1.627067305365e-02       1.340162218905e-02 
  261       1.628587872061e-02       1.343961881618e-02 
  262       1.630099680571e-02       1.347794569360e-02 
  263       1.631602652685e-02       1.351657282602e-02 
  264       1.633096678755e-02       1.355546899212e-02 
  265       1.634581617204e-02       1.359460173139e-02 
  266       1.636057294052e-02       1.363393733096e-02 
  267       1.637523502430e-02       1.367344081249e-02 
  268       1.638980002096e-02       1.371307591896e-02 
  269       1.640426518957e-02       1.375280510159e-02 
  270       1.641862744584e-02       1.379258950665e-02 
  271       1.643288335733e-02       1.383238896231e-02 
  272       1.644702913859e-02       1.387216196552e-02 
  273       1.646106064634e-02       1.391186566885e-02 
  274       1.647497337471e-02       1.395145586730e-02 
  275       1.648876245033e-02       1.399088698521e-02 
  276       1.650242262758e-02       1.403011206310e-02 
  277       1.651594828374e-02       1.406908274448e-02 
  278       1.652933341415e-02       1.410774926276e-02 
  279       1.654257626581e-02       1.414607307809e-02 
  280       1.655569351362e-02       1.418406553991e-02 
  281       1.656870680919e-02       1.422175120187e-02 
  282       1.658163821092e-02       1.425915535843e-02 
  283       1.659451018624e-02       1.429630405120e-02 
  284       1.660734561399e-02       1.433322407516e-02 
  285       1.662016778669e-02       1.436994298499e-02 
  286       1.663300041283e-02       1.440648910133e-02 
  287       1.664586761920e-02       1.444289151708e-02 
  288       1.665879395318e-02       1.447918010364e-02 
  289       1.667180438505e-02       1.451538551726e-02 
  290       1.668492431028e-02       1.455153920527e-02 
  291       1.669817955185e-02       1.458767341239e-02 
  292       1.671159636256e-02       1.462382118698e-02 
  293       1.672520142731e-02       1.466001638738e-02 
  294       1.673902186541e-02       1.469629368814e-02 
  295       1.675308523289e-02       1.473268858632e-02 
  296       1.676741952482e-02       1.476923740778e-02 
  297       1.678205317758e-02       1.480597731347e-02 
  298       1.679701507119e-02       1.484294630568e-02 
  299       1.681233453159e-02       1.488018323437e-02 
  300       1.682804133298e-02       1.491772780339e-02 
