# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:z=0.5                    3:z=1    
  206       2.550968475980e-02       1.965777114219e-02 
  207       2.556237255204e-02       1.968314391053e-02 
  208       2.561338427519e-02       1.970810815915e-02 
  209       2.566273421057e-02       1.973273131203e-02 
  210       2.571043748485e-02       1.975708271044e-02 
  211       2.575651007721e-02       1.978123362962e-02 
  212       2.580096882644e-02       1.980525729544e-02 
  213       2.584383143806e-02       1.982922890115e-02 
  214       2.588511649148e-02       1.985322562400e-02 
  215       2.592484344707e-02       1.987732664198e-02 
  216       2.596303265330e-02       1.990161315048e-02 
  217       2.599970535388e-02       1.992616837899e-02 
  218       2.603488369486e-02       1.995107760779e-02 
  219       2.606859073178e-02       1.997642818464e-02 
  220       2.610085043676e-02       2.000230954146e-02 
  221       2.613168770564e-02       2.002881321102e-02 
  222       2.616112836509e-02       2.005603284365e-02 
  223       2.618919917975e-02       2.008406422390e-02 
  224       2.621593189905e-02       2.011299207693e-02 
  225       2.624137567204e-02       2.014284951067e-02 
  226       2.626558544463e-02       2.017365599804e-02 
  227       2.628861800832e-02       2.020543033809e-02 
  228       2.631053201689e-02       2.023819064130e-02 
  229       2.633138800320e-02       2.027195431480e-02 
  230       2.635124839587e-02       2.030673804757e-02 
  231       2.637017753608e-02       2.034255779575e-02 
  232       2.638824169427e-02       2.037942876780e-02 
  233       2.640550908687e-02       2.041736540977e-02 
  234       2.642204989309e-02       2.045638139054e-02 
  235       2.643793627163e-02       2.049648958706e-02 
  236       2.645324237740e-02       2.053770206955e-02 
  237       2.646804437830e-02       2.058003008677e-02 
  238       2.648242047196e-02       2.062348405127e-02 
  239       2.649645090244e-02       2.066807352456e-02 
  240       2.651021797699e-02       2.071380720241e-02 
  241       2.652380608282e-02       2.076069290007e-02 
  242       2.653730170381e-02       2.080873753750e-02 
  243       2.655079343725e-02       2.085794712458e-02 
  244       2.656437201059e-02       2.090832674640e-02 
  245       2.657813029817e-02       2.095988054844e-02 
  246       2.659216333799e-02       2.101261172187e-02 
  247       2.660656834841e-02       2.106652248870e-02 
  248       2.662144474492e-02       2.112161408711e-02 
  249       2.663689415686e-02       2.117788675661e-02 
  250       2.665300212502e-02       2.123533416399e-02 
  251       2.666978198841e-02       2.129392635482e-02 
  252       2.668722779101e-02       2.135362578917e-02 
  253       2.670533229131e-02       2.141439278718e-02 
  254       2.672408694401e-02       2.147618550357e-02 
  255       2.674348188169e-02       2.153895990234e-02 
  256       2.676350589659e-02       2.160266973133e-02 
  257       2.678414642225e-02       2.166726649680e-02 
  258       2.680538951526e-02       2.173269943808e-02 
  259       2.682721983695e-02       2.179891550218e-02 
  260       2.684962063509e-02       2.186585931832e-02 
  261       2.687257372564e-02       2.193347317262e-02 
  262       2.689605947439e-02       2.200169698266e-02 
  263       2.692005677874e-02       2.207046827210e-02 
  264       2.694454304934e-02       2.213972214527e-02 
  265       2.696949419186e-02       2.220939126179e-02 
  266       2.699488458865e-02       2.227940581116e-02 
  267       2.702068708048e-02       2.234969348738e-02 
  268       2.704687294823e-02       2.242017946353e-02 
  269       2.707341189460e-02       2.249078636640e-02 
  270       2.710027202582e-02       2.256143425110e-02 
  271       2.712741983336e-02       2.263204057563e-02 
  272       2.715482017565e-02       2.270252017550e-02 
  273       2.718243625976e-02       2.277278523836e-02 
  274       2.721022962311e-02       2.284274527855e-02 
  275       2.723816011521e-02       2.291230711178e-02 
  276       2.726618587936e-02       2.298137482964e-02 
  277       2.729426333431e-02       2.304984977431e-02 
  278       2.732234715603e-02       2.311763051306e-02 
  279       2.735040785775e-02       2.318463724539e-02 
  280       2.737848557599e-02       2.325088647608e-02 
  281       2.740663903548e-02       2.331642016137e-02 
  282       2.743492821050e-02       2.338128163701e-02 
  283       2.746341433363e-02       2.344551563043e-02 
  284       2.749215990447e-02       2.350916827286e-02 
  285       2.752122869838e-02       2.357228711147e-02 
  286       2.755068577523e-02       2.363492112150e-02 
  287       2.758059748816e-02       2.369712071841e-02 
