# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[2]-dens[2]        4:dens[3]-dens[3]    
  116       8.394304452033e-03       4.273700405803e-03       2.915328169057e-03 
  117       8.449255265020e-03       4.316902274974e-03       2.940925689604e-03 
  118       8.503169480614e-03       4.360412867895e-03       2.966508611321e-03 
  119       8.556058538145e-03       4.404224539216e-03       2.992085685196e-03 
  120       8.607935228874e-03       4.448328171538e-03       3.017665948004e-03 
  121       8.658813709998e-03       4.492713131913e-03       3.043258721159e-03 
  122       8.708709518646e-03       4.537367228331e-03       3.068873609555e-03 
  123       8.757639585876e-03       4.582276666217e-03       3.094520500424e-03 
  124       8.805622250672e-03       4.627426004927e-03       3.120209562175e-03 
  125       8.852677273945e-03       4.672798114241e-03       3.145951243251e-03 
  126       8.898825852529e-03       4.718374130857e-03       3.171756270969e-03 
  127       8.944090633180e-03       4.764133414885e-03       3.197635650378e-03 
  128       8.988495726571e-03       4.810053506345e-03       3.223600663098e-03 
  129       9.032065752516e-03       4.856112109312e-03       3.249662286127e-03 
  130       9.074822827476e-03       4.902293382876e-03       3.275829378600e-03 
  131       9.116789271489e-03       4.948582261308e-03       3.302110293015e-03 
  132       9.157988554326e-03       4.994962459550e-03       3.328513432192e-03 
  133       9.198445302551e-03       5.041416444225e-03       3.355047243978e-03 
  134       9.238185306595e-03       5.087925404636e-03       3.381720215943e-03 
  135       9.277235527812e-03       5.134469223771e-03       3.408540870074e-03 
  136       9.315624105553e-03       5.181026449308e-03       3.435517757480e-03 
  137       9.353380364226e-03       5.227574264614e-03       3.462659453082e-03 
  138       9.390534820366e-03       5.274088459755e-03       3.489974550316e-03 
  139       9.427119189696e-03       5.320543402495e-03       3.517471655830e-03 
  140       9.463166394199e-03       5.366912009299e-03       3.545159384181e-03 
  141       9.498710569178e-03       5.413165716340e-03       3.573046352532e-03 
  142       9.533787070324e-03       5.459274450502e-03       3.601141175352e-03 
  143       9.568432480783e-03       5.505206600379e-03       3.629452459113e-03 
  144       9.602681384694e-03       5.550931949912e-03       3.657987384556e-03 
  145       9.636556314398e-03       5.596430866452e-03       3.686747307163e-03 
  146       9.670076820977e-03       5.641685967611e-03       3.715731710855e-03 
  147       9.703262607370e-03       5.686679228108e-03       3.744939568171e-03 
  148       9.736133516860e-03       5.731391967798e-03       3.774369326849e-03 
  149       9.768709521547e-03       5.775804839705e-03       3.804018896411e-03 
  150       9.801010710840e-03       5.819897818052e-03       3.833885634736e-03 
  151       9.833057279933e-03       5.863650186287e-03       3.863966334647e-03 
  152       9.864869518290e-03       5.907040525118e-03       3.894257210487e-03 
  153       9.896467798126e-03       5.950046700539e-03       3.924753884702e-03 
  154       9.927872562890e-03       5.992645851864e-03       3.955451374421e-03 
  155       9.959104315749e-03       6.034814379755e-03       3.986344078035e-03 
  156       9.990183608065e-03       6.076527934253e-03       4.017425761779e-03 
  157       1.002113102788e-02       6.117761402805e-03       4.048689546311e-03 
  158       1.005196718841e-02       6.158488898300e-03       4.080127893293e-03 
  159       1.008271271650e-02       6.198683747094e-03       4.111732591974e-03 
  160       1.011338824112e-02       6.238318477042e-03       4.143494745767e-03 
  161       1.014401229656e-02       6.277368416058e-03       4.175405878385e-03 
  162       1.017459484766e-02       6.315822870528e-03       4.207461390362e-03 
  163       1.020514316731e-02       6.353674917163e-03       4.239657383976e-03 
  164       1.023566384931e-02       6.390917885975e-03       4.271989562986e-03 
  165       1.026616278726e-02       6.427545364928e-03       4.304453224362e-03 
  166       1.029664515347e-02       6.463551204574e-03       4.337043250015e-03 
  167       1.032711537780e-02       6.498929522695e-03       4.369754098528e-03 
  168       1.035757712660e-02       6.533674708950e-03       4.402579796891e-03 
  169       1.038803328156e-02       6.567781429508e-03       4.435513932228e-03 
  170       1.041848591861e-02       6.601244631698e-03       4.468549643533e-03 
  171       1.044893628682e-02       6.634059548646e-03       4.501679613396e-03 
  172       1.047938478728e-02       6.666221703917e-03       4.534896059738e-03 
  173       1.050983095198e-02       6.697726916160e-03       4.568190727543e-03 
  174       1.054027342270e-02       6.728571303745e-03       4.601554880584e-03 
  175       1.057070992992e-02       6.758751289409e-03       4.634979293162e-03 
  176       1.060113727167e-02       6.788263604895e-03       4.668454241832e-03 
  177       1.063155129244e-02       6.817105295593e-03       4.701969497136e-03 
  178       1.066194686209e-02       6.845273725187e-03       4.735514315334e-03 
  179       1.069231785468e-02       6.872766580289e-03       4.769077430136e-03 
  180       1.072265832291e-02       6.899583383016e-03       4.802647496087e-03 
  181       1.075296616978e-02       6.925730153449e-03       4.836214475405e-03 
  182       1.078323972889e-02       6.951215127560e-03       4.869768345761e-03 
  183       1.081347657858e-02       6.976047292707e-03       4.903298651968e-03 
  184       1.084367352527e-02       7.000236397836e-03       4.936794499382e-03 
  185       1.087382658667e-02       7.023792963670e-03       4.970244547291e-03 
  186       1.090393097515e-02       7.046728292912e-03       5.003637002315e-03 
  187       1.093398108098e-02       7.069054480432e-03       5.036959611798e-03 
  188       1.096397045563e-02       7.090784423471e-03       5.070199657204e-03 
  189       1.099389179509e-02       7.111931831834e-03       5.103343947510e-03 
  190       1.102373692313e-02       7.132511238081e-03       5.136378812604e-03 
  191       1.105349677460e-02       7.152538007733e-03       5.169290096678e-03 
  192       1.108316137872e-02       7.172028349456e-03       5.202063151622e-03 
  193       1.111271984238e-02       7.190999325266e-03       5.234682830423e-03 
  194       1.114216033342e-02       7.209468860720e-03       5.267133480554e-03 
  195       1.117147006394e-02       7.227455755114e-03       5.299398937374e-03 
  196       1.120063527357e-02       7.244979691678e-03       5.331462517520e-03 
  197       1.122964121276e-02       7.262061247770e-03       5.363307012303e-03 
  198       1.125847212609e-02       7.278721905075e-03       5.394914681103e-03 
  199       1.128711123556e-02       7.294984059798e-03       5.426267244764e-03 
  200       1.131554072385e-02       7.310871032864e-03       5.457345878987e-03 
  201       1.134374491429e-02       7.326405259633e-03       5.488133315609e-03 
  202       1.137172009842e-02       7.341602693771e-03       5.518620327425e-03 
  203       1.139946537901e-02       7.356478022840e-03       5.548799694385e-03 
  204       1.142697952928e-02       7.371046457630e-03       5.578664136971e-03 
  205       1.145426098567e-02       7.385323736975e-03       5.608206315828e-03 
  206       1.148130784057e-02       7.399326132567e-03       5.637418831381e-03 
  207       1.150811783504e-02       7.413070453771e-03       5.666294223467e-03 
  208       1.153468835158e-02       7.426574052440e-03       5.694824970954e-03 
  209       1.156101640683e-02       7.439854827735e-03       5.723003491371e-03 
  210       1.158709864437e-02       7.452931230932e-03       5.750822140527e-03 
  211       1.161293132738e-02       7.465822270246e-03       5.778273212143e-03 
  212       1.163851033144e-02       7.478547515640e-03       5.805348937468e-03 
  213       1.166383113725e-02       7.491127103643e-03       5.832041484913e-03 
  214       1.168888882337e-02       7.503581742166e-03       5.858342959667e-03 
  215       1.171367805894e-02       7.515932715316e-03       5.884245403331e-03 
  216       1.173819309646e-02       7.528201888210e-03       5.909740793533e-03 
  217       1.176242776449e-02       7.540411711795e-03       5.934821043562e-03 
  218       1.178637546040e-02       7.552585227658e-03       5.959478001986e-03 
  219       1.181002914312e-02       7.564746072845e-03       5.983703452279e-03 
  220       1.183338132588e-02       7.576918484675e-03       6.007489112447e-03 
  221       1.185642406892e-02       7.589127305554e-03       6.030826634653e-03 
  222       1.187914897226e-02       7.601397987793e-03       6.053707604839e-03 
  223       1.190154716845e-02       7.613756598422e-03       6.076123542353e-03 
  224       1.192361171833e-02       7.626226657718e-03       6.098067425821e-03 
  225       1.194534498473e-02       7.638819418992e-03       6.119538380532e-03 
  226       1.196675171890e-02       7.651542973093e-03       6.140537291739e-03 
  227       1.198783669851e-02       7.664405355805e-03       6.161065308737e-03 
  228       1.200860472611e-02       7.677414545124e-03       6.181123848128e-03 
  229       1.202906062758e-02       7.690578458535e-03       6.200714597075e-03 
  230       1.204920925061e-02       7.703904950289e-03       6.219839516563e-03 
  231       1.206905546318e-02       7.717401808680e-03       6.238500844656e-03 
  232       1.208860415195e-02       7.731076753319e-03       6.256701099758e-03 
  233       1.210786022079e-02       7.744937432412e-03       6.274443083871e-03 
  234       1.212682858923e-02       7.758991420040e-03       6.291729885850e-03 
  235       1.214551419086e-02       7.773246213430e-03       6.308564884670e-03 
  236       1.216392197189e-02       7.787709230232e-03       6.324951752675e-03 
  237       1.218205688952e-02       7.802387805802e-03       6.340894458845e-03 
  238       1.219992391045e-02       7.817289190471e-03       6.356397272049e-03 
  239       1.221752800933e-02       7.832420546826e-03       6.371464764306e-03 
  240       1.223487416722e-02       7.847788946983e-03       6.386101814044e-03 
  241       1.225196737005e-02       7.863401369868e-03       6.400313609358e-03 
  242       1.226881260707e-02       7.879264698492e-03       6.414105651269e-03 
  243       1.228541486933e-02       7.895385717223e-03       6.427483756984e-03 
