# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   54       2.000354033548e-10       2.008430216099e-14      -3.271429172308e-14       0.000000000000e+00       4.773148359185e-11       5.482506091281e-12      -6.302661252723e-15 
   55       2.027464829540e-10       2.126081011147e-14      -6.518232695140e-14       0.000000000000e+00       4.582038618544e-11       5.284465703047e-12      -5.357171620855e-15 
   56       2.054886121073e-10       2.247557707888e-14      -9.914796620166e-14       0.000000000000e+00       4.400715959444e-11       5.096559688106e-12      -4.929678423126e-15 
   57       2.082624629644e-10       2.372858609640e-14      -1.346488519298e-13       0.000000000000e+00       4.229079724740e-11       4.918656747336e-12      -4.937035218793e-15 
   58       2.110674022761e-10       2.501977543797e-14      -1.717283596011e-13       0.000000000000e+00       4.066739828344e-11       4.750315166406e-12      -5.277987033515e-15 
   59       2.139013965624e-10       2.634903777966e-14      -2.104359740508e-13       0.000000000000e+00       3.912998879156e-11       4.590763664963e-12      -5.832292675614e-15 
   60       2.167609172800e-10       2.771621936112e-14      -2.508276658457e-13       0.000000000000e+00       3.766834305002e-11       4.438882245811e-12      -6.459847052337e-15 
   61       2.196424300632e-10       2.912106323734e-14      -2.929544242073e-13       0.000000000000e+00       3.627182359965e-11       4.293505600072e-12      -7.029627960199e-15 
   62       2.225474676041e-10       3.056302604645e-14      -3.368239965867e-13       0.000000000000e+00       3.493905081094e-11       4.154456229146e-12      -7.516114636393e-15 
   63       2.254785323354e-10       3.204141843820e-14      -3.824311899023e-13       0.000000000000e+00       3.367009641866e-11       4.021710289948e-12      -7.923052413915e-15 
   64       2.284375691477e-10       3.355545479355e-14      -4.297689567251e-13       0.000000000000e+00       3.246357487956e-11       3.895086762060e-12      -8.255605259562e-15 
   65       2.314259208184e-10       3.510425061210e-14      -4.788283958558e-13       0.000000000000e+00       3.131656039695e-11       3.774238531371e-12      -8.520424398196e-15 
   66       2.344442834414e-10       3.668681989950e-14      -5.295987529030e-13       0.000000000000e+00       3.022450394536e-11       3.658643473718e-12      -8.725716937018e-15 
   67       2.374926618559e-10       3.830207255491e-14      -5.820674208606e-13       0.000000000000e+00       2.918115029516e-11       3.547595538523e-12      -8.881314489832e-15 
   68       2.405708366700e-10       3.994893238948e-14      -6.362198880129e-13       0.000000000000e+00       2.818020882420e-11       3.440402827801e-12      -8.997651616048e-15 
   69       2.436799748456e-10       4.162672479056e-14      -6.920395681014e-13       0.000000000000e+00       2.722094455910e-11       3.337048370698e-12      -9.082307374967e-15 
   70       2.468212668911e-10       4.333486327609e-14      -7.495079366252e-13       0.000000000000e+00       2.630357617077e-11       3.237647836710e-12      -9.142883059145e-15 
   71       2.499954132205e-10       4.507273627782e-14      -8.086045797125e-13       0.000000000000e+00       2.542758498728e-11       3.142250829455e-12      -9.188070387508e-15 
   72       2.532025926668e-10       4.683970761398e-14      -8.693071933514e-13       0.000000000000e+00       2.459167687232e-11       3.050837264309e-12      -9.227692247645e-15 
   73       2.564424309957e-10       4.863511696194e-14      -9.315915826204e-13       0.000000000000e+00       2.379374410375e-11       2.963313746049e-12      -9.272743438096e-15 
   74       2.597139694193e-10       5.045828033076e-14      -9.954316609189e-13       0.000000000000e+00       2.303082725213e-11       2.879509946487e-12      -9.335431410648e-15 
   75       2.630156331092e-10       5.230849053390e-14      -1.060799449197e-12       0.000000000000e+00       2.229907705922e-11       2.799174982114e-12      -9.429217012625e-15 
   76       2.663458742755e-10       5.418485796388e-14      -1.127662182008e-12       0.000000000000e+00       2.159471003604e-11       2.722043970714e-12      -9.564915555034e-15 
   77       2.697053063896e-10       5.608579835041e-14      -1.195973018105e-12       0.000000000000e+00       2.091716070394e-11       2.648059720472e-12      -9.738089127318e-15 
   78       2.730949037511e-10       5.800945201720e-14      -1.265678626605e-12       0.000000000000e+00       2.026643759150e-11       2.577185073669e-12      -9.939418549408e-15 
   79       2.765153440797e-10       5.995383253637e-14      -1.336721870772e-12       0.000000000000e+00       1.964216305277e-11       2.509334166088e-12      -1.015839969000e-14 
   80       2.799669908620e-10       6.191682392631e-14      -1.409041747917e-12       0.000000000000e+00       1.904355552280e-11       2.444370243738e-12      -1.038330342262e-14 
   81       2.834498756968e-10       6.389617784965e-14      -1.482573329299e-12       0.000000000000e+00       1.846941177319e-11       2.382103479562e-12      -1.060113558175e-14 
   82       2.869636806417e-10       6.588951081107e-14      -1.557247700036e-12       0.000000000000e+00       1.791808916766e-11       2.322288790157e-12      -1.079759691884e-14 
   83       2.905077205590e-10       6.789430135526e-14      -1.632991898999e-12       0.000000000000e+00       1.738748791755e-11       2.264623652489e-12      -1.095704305846e-14 
   84       2.940813107503e-10       6.990813926595e-14      -1.709737256584e-12       0.000000000000e+00       1.687556144745e-11       2.208819420518e-12      -1.106573104166e-14 
   85       2.976849785592e-10       7.192952676744e-14      -1.787446127779e-12       0.000000000000e+00       1.638198357316e-11       2.154833641616e-12      -1.112226506060e-14 
   86       3.013194211925e-10       7.395720562536e-14      -1.866089501296e-12       0.000000000000e+00       1.590672645795e-11       2.102672429414e-12      -1.112881703838e-14 
   87       3.049851272769e-10       7.598991836701e-14      -1.945639075589e-12       0.000000000000e+00       1.544954833824e-11       2.052319454132e-12      -1.108800897687e-14 
   88       3.086823656801e-10       7.802640971455e-14      -2.026067339904e-12       0.000000000000e+00       1.500998465487e-11       2.003734994586e-12      -1.100292814956e-14 
   89       3.124111743320e-10       8.006542801825e-14      -2.107347655318e-12       0.000000000000e+00       1.458733918451e-11       1.956854990197e-12      -1.087714229442e-14 
   90       3.161713490468e-10       8.210572668965e-14      -2.189454335789e-12       0.000000000000e+00       1.418067517098e-11       1.911590093000e-12      -1.071471480673e-14 
   91       3.199624323440e-10       8.414606563481e-14      -2.272362729194e-12       0.000000000000e+00       1.378880645661e-11       1.867824719650e-12      -1.052021993191e-14 
   92       3.237837022699e-10       8.618521268749e-14      -2.356049298375e-12       0.000000000000e+00       1.341028861355e-11       1.825416103434e-12      -1.029875795839e-14 
   93       3.276344302769e-10       8.822183473165e-14      -2.440483613881e-12       0.000000000000e+00       1.304376167562e-11       1.784230139347e-12      -1.005548234925e-14 
   94       3.315147235072e-10       9.025414922427e-14      -2.525602778557e-12       0.000000000000e+00       1.268905656140e-11       1.744257145319e-12      -9.794066783921e-15 
   95       3.354247891101e-10       9.228022266750e-14      -2.611333288353e-12       0.000000000000e+00       1.234623943430e-11       1.705511839756e-12      -9.518034576724e-15 
   96       3.393646690866e-10       9.429807616959e-14      -2.697598748316e-12       0.000000000000e+00       1.201527094103e-11       1.667997662774e-12      -9.231234574435e-15 
   97       3.433342328047e-10       9.630568536384e-14      -2.784319842603e-12       0.000000000000e+00       1.169600216939e-11       1.631706333260e-12      -8.937849649614e-15 
   98       3.473331695134e-10       9.830098032761e-14      -2.871414304501e-12       0.000000000000e+00       1.138817060591e-11       1.596617405930e-12      -8.642405193909e-15 
   99       3.513609808584e-10       1.002818455013e-13      -2.958796886445e-12       0.000000000000e+00       1.109139609361e-11       1.562697828395e-12      -8.349777611360e-15 
  100       3.554169733961e-10       1.022461196074e-13      -3.046379330032e-12       0.000000000000e+00       1.080517678967e-11       1.529901498216e-12      -8.065202811713e-15 
  101       3.595002511089e-10       1.041915955694e-13      -3.134070336039e-12       0.000000000000e+00       1.052888512315e-11       1.498168819967e-12      -7.794284703726e-15 
  102       3.636097079195e-10       1.061160204308e-13      -3.221775534444e-12       0.000000000000e+00       1.026176375271e-11       1.467426262299e-12      -7.543003688475e-15 
  103       3.677440202064e-10       1.080170952742e-13      -3.309397454439e-12       0.000000000000e+00       1.000292152430e-11       1.437585914994e-12      -7.317725152664e-15 
  104       3.719019302683e-10       1.098925838142e-13      -3.396842026501e-12       0.000000000000e+00       9.751535497575e-12       1.408565505865e-12      -7.123732590122e-15 
