# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   97       3.436691565135e-10       9.497670937436e-14      -2.782736195105e-12       3.523553856255e-16       1.169600216939e-11       1.631706333260e-12      -8.937849649614e-15 
   98       3.476705524415e-10       9.710700151321e-14      -2.869671035613e-12       3.646227249998e-16       1.138817060591e-11       1.596617405930e-12      -8.642405193909e-15 
   99       3.517008613283e-10       9.932155675357e-14      -2.956886815317e-12       3.799180078766e-16       1.109139609361e-11       1.562697828395e-12      -8.349777611360e-15 
  100       3.557593254022e-10       1.015897420335e-13      -3.044295236131e-12       3.973953476823e-16       1.080517678967e-11       1.529901498216e-12      -8.065202811713e-15 
  101       3.598449788479e-10       1.038782569186e-13      -3.131804968317e-12       4.161309407585e-16       1.052888512315e-11       1.498168819967e-12      -7.794284703726e-15 
  102       3.639566401817e-10       1.061510658598e-13      -3.219321620771e-12       4.351210552234e-16       1.026176375271e-11       1.467426262299e-12      -7.543003688475e-15 
  103       3.680929046261e-10       1.083693304513e-13      -3.306747711323e-12       4.532800198341e-16       1.000292152430e-11       1.437585914994e-12      -7.317725152664e-15 
  104       3.722524432811e-10       1.104990552704e-13      -3.393989157724e-12       4.696642651292e-16       9.751535497575e-12       1.408565505865e-12      -7.123732590122e-15 
  105       3.764349630884e-10       1.125353475859e-13      -3.480975813218e-12       4.841832464066e-16       9.507496812589e-12       1.380352484971e-12      -6.960582999388e-15 
  106       3.806403629323e-10       1.144813237481e-13      -3.567643662562e-12       4.969812538140e-16       9.270844940444e-12       1.352947811782e-12      -6.826136981183e-15 
  107       3.848684342218e-10       1.163407050674e-13      -3.653928590491e-12       5.082204031351e-16       9.041567649290e-12       1.326346052907e-12      -6.717970456222e-15 
  108       3.891188566363e-10       1.181178348375e-13      -3.739766423666e-12       5.180811087423e-16       8.819599226529e-12       1.300535163997e-12      -6.633366945645e-15 
  109       3.933911938722e-10       1.198176953574e-13      -3.825092972629e-12       5.267625565501e-16       8.604818701008e-12       1.275496271631e-12      -6.569309851453e-15 
  110       3.976848893893e-10       1.214459249543e-13      -3.909844073749e-12       5.344831769674e-16       8.397048065223e-12       1.251203455216e-12      -6.522474736934e-15 
  111       4.019992621566e-10       1.230088350061e-13      -3.993955631173e-12       5.414811178514e-16       8.196050497516e-12       1.227623528878e-12      -6.489221607094e-15 
  112       4.063335023992e-10       1.245134269642e-13      -4.077363658775e-12       5.480147174596e-16       8.001528584275e-12       1.204715823357e-12      -6.465587189094e-15 
  113       4.106866673444e-10       1.259674093757e-13      -4.160004322107e-12       5.543629774034e-16       7.813122542131e-12       1.182431967902e-12      -6.447277212673e-15 
  114       4.150576769679e-10       1.273792149062e-13      -4.241813980350e-12       5.608260356009e-16       7.630408440163e-12       1.160715672162e-12      -6.429658690586e-15 
  115       4.194453097403e-10       1.287580173626e-13      -4.322729228263e-12       5.677256392296e-16       7.452896422092e-12       1.139502508083e-12      -6.407752199029e-15 
  116       4.238483683269e-10       1.301115548925e-13      -4.402685389610e-12       5.753395373908e-16       7.280138108941e-12       1.118734670531e-12      -6.377248895203e-15 
  117       4.282662086374e-10       1.314392629421e-13      -4.481611699968e-12       5.836945986726e-16       7.112067421999e-12       1.098407761408e-12      -6.337718352175e-15 
  118       4.326982674103e-10       1.327383344754e-13      -4.559435614289e-12       5.927493116365e-16       6.948698051937e-12       1.078529310507e-12      -6.289778055471e-15 
  119       4.371438952937e-10       1.340058367427e-13      -4.636084330967e-12       6.024575043779e-16       6.790017182472e-12       1.059104221004e-12      -6.234104889577e-15 
  120       4.416023540941e-10       1.352387089067e-13      -4.711484820097e-12       6.127682332140e-16       6.635984677913e-12       1.040134683784e-12      -6.171436478818e-15 
  121       4.460728140257e-10       1.364337596674e-13      -4.785563851736e-12       6.236256713733e-16       6.486532270697e-12       1.021620091780e-12      -6.102572528242e-15 
  122       4.505543509589e-10       1.375876648874e-13      -4.858248024154e-12       6.349689976841e-16       6.341562748942e-12       1.003556954298e-12      -6.028376164504e-15 
  123       4.550459436697e-10       1.386969652180e-13      -4.929463792100e-12       6.467322852628e-16       6.200949143983e-12       9.859388113549e-13      -5.949775276748e-15 
  124       4.595464710888e-10       1.397580637238e-13      -4.999137495057e-12       6.588443902030e-16       6.064533917923e-12       9.687561480071e-13      -5.867763857491e-15 
  125       4.640547095501e-10       1.407672235085e-13      -5.067195385498e-12       6.712288402641e-16       5.932128151169e-12       9.519963086830e-13      -5.783403343505e-15 
  126       4.685693300402e-10       1.417205653403e-13      -5.133563657151e-12       6.838037235598e-16       5.803510729984e-12       9.356434115156e-13      -5.697823956703e-15 
  127       4.730888954470e-10       1.426140652772e-13      -5.198168473249e-12       6.964815772470e-16       5.678427534023e-12       9.196782626742e-13      -5.612226045018e-15 
  128       4.776118578090e-10       1.434435522924e-13      -5.260935994796e-12       7.091692762145e-16       5.556590623883e-12       9.040782706962e-13      -5.527881423287e-15 
  129       4.821367227570e-10       1.442053867682e-13      -5.321793767118e-12       7.217868582867e-16       5.437740129942e-12       8.888226759548e-13      -5.445888218076e-15 
  130       4.866625690792e-10       1.448985851745e-13      -5.380674991481e-12       7.343265711739e-16       5.321839320707e-12       8.739090696394e-13      -5.366402147215e-15 
  131       4.911885812193e-10       1.455229250679e-13      -5.437514777663e-12       7.468001228417e-16       5.208899497945e-12       8.593385334683e-13      -5.289323052125e-15 
  132       4.957138856539e-10       1.460782875886e-13      -5.492248865262e-12       7.592203495920e-16       5.098918853388e-12       8.451104398277e-13      -5.214533415829e-15 
  133       5.002375493375e-10       1.465646599586e-13      -5.544813661673e-12       7.716012402536e-16       4.991882104945e-12       8.312224041358e-13      -5.141897939998e-15 
  134       5.047585781482e-10       1.469821379786e-13      -5.595146280071e-12       7.839579603739e-16       4.887760132912e-12       8.176702372090e-13      -5.071263122003e-15 
  135       5.092759153329e-10       1.473309285258e-13      -5.643184577382e-12       7.963068764108e-16       4.786509616187e-12       8.044478976266e-13      -5.002456831954e-15 
  136       5.137884399527e-10       1.476113520511e-13      -5.688867192267e-12       8.086655799235e-16       4.688072668478e-12       7.915474440956e-13      -4.935287889756e-15 
  137       5.182949653280e-10       1.478238450769e-13      -5.732133583095e-12       8.210529117646e-16       4.592376474513e-12       7.789589878166e-13      -4.869545642152e-15 
  138       5.227942374846e-10       1.479689626939e-13      -5.772924065926e-12       8.334889862711e-16       4.499332926258e-12       7.666706448482e-13      -4.804999539768e-15 
  139       5.272849335982e-10       1.480473810592e-13      -5.811179852483e-12       8.459952154562e-16       4.408838259121e-12       7.546684884729e-13      -4.741398714164e-15 
  140       5.317656604404e-10       1.480598998935e-13      -5.846843088135e-12       8.585943332006e-16       4.320772688169e-12       7.429365015615e-13      -4.678471554882e-15 
  141       5.362349528237e-10       1.480074449784e-13      -5.879856889869e-12       8.713104194443e-16       4.235000044335e-12       7.314565289387e-13      -4.615925286489e-15 
  142       5.406912720470e-10       1.478910706539e-13      -5.910165384275e-12       8.841689243774e-16       4.151367410634e-12       7.202082297483e-13      -4.553445545627e-15 
  143       5.451330043411e-10       1.477119623162e-13      -5.937713745518e-12       8.971966926325e-16       4.069704758370e-12       7.091690298179e-13      -4.490695958060e-15 
  144       5.495585904502e-10       1.474712760394e-13      -5.962448555855e-12       9.104167538481e-16       3.989860597445e-12       6.983190108505e-13      -4.427387891951e-15 
  145       5.539669320571e-10       1.471696343508e-13      -5.984318847057e-12       9.238320644639e-16       3.911813656422e-12       6.876562218035e-13      -4.363498360961e-15 
  146       5.583570226570e-10       1.468075852619e-13      -6.003275234329e-12       9.374402016097e-16       3.835571572331e-12       6.771827934821e-13      -4.299072899472e-15 
  147       5.627278192262e-10       1.463857622278e-13      -6.019269642470e-12       9.512384469712e-16       3.761135709805e-12       6.669001181662e-13      -4.234157295892e-15 
  148       5.670782414199e-10       1.459048857085e-13      -6.032255345709e-12       9.652237809030e-16       3.688501004270e-12       6.568088303485e-13      -4.168797573009e-15 
  149       5.714071707722e-10       1.453657647301e-13      -6.042187007530e-12       9.793928765418e-16       3.617655805132e-12       6.469087874721e-13      -4.103039968353e-15 
  150       5.757134498947e-10       1.447692984465e-13      -6.049020720510e-12       9.937420939198e-16       3.548581718972e-12       6.371990506681e-13      -4.036930914557e-15 
  151       5.799958816755e-10       1.441164777004e-13      -6.052714046145e-12       1.008267474078e-15       3.481253452725e-12       6.276778654933e-13      -3.970517019711e-15 
  152       5.842532284784e-10       1.434083865851e-13      -6.053226054686e-12       1.022964733178e-15       3.415638656878e-12       6.183426426681e-13      -3.903845047723e-15 
  153       5.884842113418e-10       1.426462040055e-13      -6.050517364968e-12       1.037829256617e-15       3.351697768656e-12       6.091899388139e-13      -3.836961898681e-15 
  154       5.926875091779e-10       1.418312052396e-13      -6.044550184240e-12       1.052856093141e-15       3.289383855208e-12       6.002154371914e-13      -3.769914589207e-15 
  155       5.968617579713e-10       1.409647635001e-13      -6.035288348003e-12       1.068039948955e-15       3.228642456800e-12       5.914139284374e-13      -3.702750232819e-15 
  156       6.010055499786e-10       1.400483514954e-13      -6.022697359831e-12       1.083375181841e-15       3.169411430002e-12       5.827792913034e-13      -3.635516020288e-15 
  157       6.051174329271e-10       1.390835429914e-13      -6.006744431212e-12       1.098855795266e-15       3.111620790879e-12       5.743044733929e-13      -3.568259199999e-15 
  158       6.091959092138e-10       1.380720143724e-13      -5.987398521377e-12       1.114475432500e-15       3.055192558176e-12       5.659814718989e-13      -3.501027058308e-15 
  159       6.132394351045e-10       1.370155462029e-13      -5.964630377126e-12       1.130227370724e-15       3.000040596511e-12       5.578013143422e-13      -3.433866899903e-15 
  160       6.172464199329e-10       1.359160247887e-13      -5.938412572668e-12       1.146104515149e-15       2.946070459562e-12       5.497540393085e-13      -3.366826028160e-15 
  161       6.212153369679e-10       1.347754423037e-13      -5.908719417860e-12       1.162100828242e-15       2.893198742387e-12       5.418310169113e-13      -3.299949954359e-15 
  162       6.251450687150e-10       1.335958939034e-13      -5.875526590208e-12       1.178215771813e-15       2.841413390797e-12       5.340321812231e-13      -3.233276888599e-15 
  163       6.290345907622e-10       1.323795833390e-13      -5.838811546298e-12       1.194450248335e-15       2.790718450441e-12       5.263594035914e-13      -3.166842721890e-15 
  164       6.328828625731e-10       1.311288259114e-13      -5.798553689368e-12       1.210805201866e-15       2.741114970833e-12       5.188142020082e-13      -3.100682725921e-15 
  165       6.366888271998e-10       1.298460500264e-13      -5.754734408534e-12       1.227281618763e-15       2.692600938300e-12       5.113977326124e-13      -3.034831525261e-15 
  166       6.404514109957e-10       1.285337987490e-13      -5.707337118019e-12       1.243880528401e-15       2.645171208932e-12       5.041107811923e-13      -2.969323069574e-15 
  167       6.441695233281e-10       1.271947313586e-13      -5.656347296374e-12       1.260603003885e-15       2.598817441529e-12       4.969537546879e-13      -2.904190605830e-15 
  168       6.478420562912e-10       1.258316249036e-13      -5.601752525709e-12       1.277450162773e-15       2.553528030546e-12       4.899266726939e-13      -2.839466650512e-15 
  169       6.514678844189e-10       1.244473757560e-13      -5.543542530917e-12       1.294423167784e-15       2.509288039048e-12       4.830291589615e-13      -2.775182961825e-15 
  170       6.550458643973e-10       1.230450011666e-13      -5.481709218899e-12       1.311523227518e-15       2.466079131650e-12       4.762604329016e-13      -2.711370511913e-15 
  171       6.585748347780e-10       1.216276408193e-13      -5.416246717792e-12       1.328751597172e-15       2.423879507471e-12       4.696193010867e-13      -2.648059459060e-15 
  172       6.620536156906e-10       1.201985583862e-13      -5.347151416193e-12       1.346109579255e-15       2.382663833079e-12       4.631041487536e-13      -2.585279119909e-15 
