# Matter power spectrum P(k) at redshift z=0
# for k=1.04545e-05 to 1.69273 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.196743528211e-02       2.394930666077e+04 
       2.209993574463e-02       2.390135251935e+04 
       2.223252814165e-02       2.385318482075e+04 
       2.236521432686e-02       2.380358745092e+04 
       2.249799619867e-02       2.375332222308e+04 
       2.263087570131e-02       2.370160430476e+04 
       2.276385482592e-02       2.365023404871e+04 
       2.289693561165e-02       2.359713808451e+04 
       2.303012014684e-02       2.354369342657e+04 
       2.316341057022e-02       2.348982259106e+04 
       2.329680907215e-02       2.343572842823e+04 
       2.343031789588e-02       2.338022410507e+04 
       2.356393933886e-02       2.332368435403e+04 
       2.369767575414e-02       2.326678885350e+04 
       2.383152955174e-02       2.320968782105e+04 
       2.396550320006e-02       2.315167469303e+04 
       2.409959922746e-02       2.309302327469e+04 
       2.423382022371e-02       2.303386830126e+04 
       2.436816884163e-02       2.297430139170e+04 
       2.450264779871e-02       2.291423460280e+04 
       2.463725987882e-02       2.285312552618e+04 
       2.477200793393e-02       2.279204108725e+04 
       2.490689488595e-02       2.272998958039e+04 
       2.504192372858e-02       2.266756112943e+04 
       2.517709752921e-02       2.260495798852e+04 
       2.531241943097e-02       2.254137001592e+04 
       2.544789265472e-02       2.247757642763e+04 
       2.558352050124e-02       2.241348898166e+04 
       2.571930635338e-02       2.234852014993e+04 
       2.585525367835e-02       2.228335334611e+04 
       2.599136603008e-02       2.221775313298e+04 
       2.612764705166e-02       2.215208309648e+04 
       2.626410047780e-02       2.208532310589e+04 
       2.640073013751e-02       2.201888391696e+04 
       2.653753995673e-02       2.195135791410e+04 
       2.667453396117e-02       2.188409476507e+04 
       2.681171627915e-02       2.181622740448e+04 
       2.694909114464e-02       2.174790474293e+04 
       2.708666290031e-02       2.167902358773e+04 
       2.722443600079e-02       2.161010309310e+04 
       2.736241501595e-02       2.154104857132e+04 
       2.750060463439e-02       2.147123863425e+04 
       2.763900966699e-02       2.140170337608e+04 
       2.777763505064e-02       2.133155967515e+04 
       2.791648585205e-02       2.126114888329e+04 
       2.805556727181e-02       2.119039437006e+04 
       2.819488464848e-02       2.111946634474e+04 
       2.833444346290e-02       2.104834203381e+04 
       2.847424934271e-02       2.097697928520e+04 
       2.861430806694e-02       2.090533528206e+04 
       2.875462557084e-02       2.083352086697e+04 
       2.889520795093e-02       2.076142383424e+04 
       2.903606147021e-02       2.068926102304e+04 
       2.917719256356e-02       2.061679009952e+04 
       2.931860784340e-02       2.054434176476e+04 
       2.946031410557e-02       2.047131863484e+04 
       2.960231833544e-02       2.039871082708e+04 
       2.974462771428e-02       2.032524374415e+04 
       2.988724962592e-02       2.025195765450e+04 
       3.003019166360e-02       2.017852773669e+04 
       3.017346163727e-02       2.010492701917e+04 
       3.031706758103e-02       2.003122322713e+04 
       3.046101776101e-02       1.995739135142e+04 
       3.060532068354e-02       1.988352132464e+04 
       3.074998510372e-02       1.980973554869e+04 
       3.089502003431e-02       1.973524253238e+04 
       3.104043475506e-02       1.966098710130e+04 
       3.118623882247e-02       1.958667011909e+04 
       3.133244207997e-02       1.951221105118e+04 
       3.147905466856e-02       1.943789478308e+04 
       3.162608703797e-02       1.936328842127e+04 
       3.177354995835e-02       1.928851000221e+04 
       3.192145453246e-02       1.921393254073e+04 
       3.206981220850e-02       1.913917137352e+04 
       3.221863479353e-02       1.906446625320e+04 
       3.236793446754e-02       1.898941047532e+04 
       3.251772379824e-02       1.891455358264e+04 
       3.266801575652e-02       1.883944815123e+04 
       3.281882373278e-02       1.876444358212e+04 
       3.297016155400e-02       1.868946084156e+04 
       3.312204350171e-02       1.861465992580e+04 
       3.327448433094e-02       1.853951326106e+04 
       3.342749929005e-02       1.846444143914e+04 
       3.358110414171e-02       1.838939155991e+04 
       3.373531518496e-02       1.831426981117e+04 
       3.389014927842e-02       1.823913609921e+04 
       3.404562386482e-02       1.816399294134e+04 
       3.420175699688e-02       1.808893685738e+04 
       3.435856736453e-02       1.801412980668e+04 
       3.451607432385e-02       1.793883191635e+04 
       3.467429792742e-02       1.786382612392e+04 
       3.483325895662e-02       1.778888689576e+04 
       3.499297895571e-02       1.771366430609e+04 
       3.515348026790e-02       1.763877305714e+04 
       3.531478607362e-02       1.756386597059e+04 
       3.547692043107e-02       1.748895648421e+04 
       3.563990831923e-02       1.741394168202e+04 
       3.580377568355e-02       1.733900544663e+04 
       3.596854948443e-02       1.726407523538e+04 
       3.613425774886e-02       1.718922047392e+04 
       3.630092962529e-02       1.711462676378e+04 
       3.646859544204e-02       1.703954716256e+04 
       3.663728676962e-02       1.696500645571e+04 
       3.680703648710e-02       1.689015597144e+04 
       3.697787885300e-02       1.681537799976e+04 
       3.714984958101e-02       1.674062870524e+04 
       3.732298592094e-02       1.666603018558e+04 
       3.749732674527e-02       1.659145959016e+04 
       3.767291264196e-02       1.651703720248e+04 
       3.784978601387e-02       1.644222582578e+04 
       3.802799118541e-02       1.636783746046e+04 
       3.820757451712e-02       1.629328139827e+04 
       3.838858452886e-02       1.621871269745e+04 
       3.857107203236e-02       1.614421545786e+04 
       3.875509027400e-02       1.606975645693e+04 
       3.894069508880e-02       1.599532909052e+04 
       3.912794506670e-02       1.592080850012e+04 
       3.931690173222e-02       1.584661237728e+04 
       3.950762973895e-02       1.577207985726e+04 
       3.970019708017e-02       1.569773733209e+04 
       3.989467531741e-02       1.562326007200e+04 
       4.009113982860e-02       1.554868350037e+04 
       4.028967007806e-02       1.547418462171e+04 
       4.049034991040e-02       1.539994725182e+04 
       4.069326787112e-02       1.532525402575e+04 
