# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[2]-dens[2]    
  268       3.086926208573e-02       2.272868849661e-02 
  269       3.090128310874e-02       2.280162194669e-02 
  270       3.093408266382e-02       2.287438859803e-02 
  271       3.096761879590e-02       2.294690035855e-02 
  272       3.100184738230e-02       2.301906645644e-02 
  273       3.103672210845e-02       2.309079341451e-02 
  274       3.107219444363e-02       2.316198502461e-02 
  275       3.110821361676e-02       2.323254232204e-02 
  276       3.114472659210e-02       2.330236355996e-02 
  277       3.118167804503e-02       2.337134418377e-02 
  278       3.121901033778e-02       2.343937680554e-02 
  279       3.125668682701e-02       2.350637580310e-02 
  280       3.129476317292e-02       2.357235258077e-02 
  281       3.133331967732e-02       2.363734415792e-02 
  282       3.137243829613e-02       2.370138890767e-02 
  283       3.141220265095e-02       2.376452656912e-02 
  284       3.145269804065e-02       2.382679825957e-02 
  285       3.149401145299e-02       2.388824648676e-02 
  286       3.153623157616e-02       2.394891516107e-02 
  287       3.157944881041e-02       2.400884960782e-02 
  288       3.162375527962e-02       2.406809657941e-02 
  289       3.166924484288e-02       2.412670426764e-02 
  290       3.171601310609e-02       2.418472231586e-02 
  291       3.176415743356e-02       2.424220183127e-02 
  292       3.181377695958e-02       2.429919539710e-02 
  293       3.186497260000e-02       2.435575708486e-02 
  294       3.191784706385e-02       2.441194246657e-02 
  295       3.197250486489e-02       2.446780862701e-02 
  296       3.202905233325e-02       2.452341417589e-02 
  297       3.208759762695e-02       2.457881926017e-02 
  298       3.214825074356e-02       2.463408557621e-02 
  299       3.221112353173e-02       2.468927638203e-02 
  300       3.227632970281e-02       2.474445650957e-02 
