# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   73       2.584660874055e-10       4.944611604146e-14      -9.454134305818e-13       2.182586213903e-16       2.255705947780e-11       2.692830856895e-12      -9.806030568541e-15 
   74       2.618047594818e-10       5.129763540079e-14      -1.009963764977e-12       2.242961244710e-16       2.183499159105e-11       2.618749641198e-12      -9.684452047911e-15 
   75       2.651738720690e-10       5.317529724555e-14      -1.076052935046e-12       2.304164419422e-16       2.114237961297e-11       2.547622777194e-12      -9.556405678008e-15 
   76       2.685727149159e-10       5.507812939591e-14      -1.143666361608e-12       2.366197450338e-16       2.047564792112e-11       2.479118960263e-12      -9.417959151151e-15 
   77       2.720020985590e-10       5.700480411354e-14      -1.212766800972e-12       2.429061735521e-16       1.983426400244e-11       2.413181517400e-12      -9.270087332568e-15 
   78       2.754630264973e-10       5.895384077910e-14      -1.283308737147e-12       2.492758684899e-16       1.921823813502e-11       2.349797706656e-12      -9.115237811819e-15 
   79       2.789562074170e-10       6.092367780479e-14      -1.355243521007e-12       2.557289840294e-16       1.862721538239e-11       2.288914758804e-12      -8.956103093273e-15 
   80       2.824820375927e-10       6.291267135767e-14      -1.428519330502e-12       2.622656880112e-16       1.806045880751e-11       2.230438050867e-12      -8.795627845769e-15 
   81       2.860405832887e-10       6.491909408296e-14      -1.503081130872e-12       2.688861624040e-16       1.751683268681e-11       2.174229279639e-12      -8.637016152271e-15 
   82       2.896315631601e-10       6.694113382728e-14      -1.578870634870e-12       2.755906037733e-16       1.699478572416e-11       2.120104635211e-12      -8.483738759524e-15 
   83       2.932543306540e-10       6.897689236198e-14      -1.655826262964e-12       2.823792237511e-16       1.649233426489e-11       2.067832974486e-12      -8.339540327713e-15 
   84       2.969082071815e-10       7.102446723377e-14      -1.733886570140e-12       2.892522474455e-16       1.600754476853e-11       2.017193541667e-12      -8.207679760700e-15 
   85       3.005935836426e-10       7.308221570371e-14      -1.813001266133e-12       2.962099073380e-16       1.554010989599e-11       1.968164124915e-12      -8.088490617541e-15 
   86       3.043109700933e-10       7.514853242642e-14      -1.893121957665e-12       3.032524492301e-16       1.509000414278e-11       1.920760888350e-12      -7.981427680356e-15 
   87       3.080606496803e-10       7.722177033161e-14      -1.974198862504e-12       3.103801346413e-16       1.465699953985e-11       1.874980784938e-12      -7.885792358503e-15 
   88       3.118426669376e-10       7.930024074455e-14      -2.056180827945e-12       3.175932412438e-16       1.424065725855e-11       1.830800730800e-12      -7.800727048828e-15 
   89       3.156568160826e-10       8.138221350642e-14      -2.139015349282e-12       3.248920632970e-16       1.384031921545e-11       1.788176779529e-12      -7.725209495924e-15 
   90       3.195026293131e-10       8.346591709470e-14      -2.222648588289e-12       3.322769120824e-16       1.345509967736e-11       1.747043296495e-12      -7.658047152385e-15 
   91       3.233793651039e-10       8.554953874358e-14      -2.307025391694e-12       3.397481163378e-16       1.308387686613e-11       1.707312133165e-12      -7.597871539057e-15 
   92       3.272859965028e-10       8.763122456432e-14      -2.392089309653e-12       3.473060226925e-16       1.272528456362e-11       1.668871801409e-12      -7.543132605297e-15 
   93       3.312215321099e-10       8.970910112044e-14      -2.477782377267e-12       3.549510096319e-16       1.237803645753e-11       1.631614998535e-12      -7.492331412183e-15 
   94       3.351860596572e-10       9.178134360378e-14      -2.564044381375e-12       3.626835308508e-16       1.204197321478e-11       1.595527711309e-12      -7.444770463422e-15 
   95       3.391798384747e-10       9.384611818240e-14      -2.650813517133e-12       3.705040792546e-16       1.171715809910e-11       1.560612048930e-12      -7.399906322036e-15 
   96       3.432029737526e-10       9.590156186877e-14      -2.738026630174e-12       3.784131746217e-16       1.140355448560e-11       1.526858655709e-12      -7.357119005961e-15 
   97       3.472554094038e-10       9.794578293465e-14      -2.825619231834e-12       3.864113642243e-16       1.110102203310e-11       1.494246274552e-12      -7.315709619718e-15 
   98       3.513369209279e-10       9.997686132595e-14      -2.913525514370e-12       3.944992234485e-16       1.080931285656e-11       1.462741310437e-12      -7.274897986091e-15 
   99       3.554471082736e-10       1.019928490777e-13      -3.001678366192e-12       4.026773564148e-16       1.052806769944e-11       1.432297393889e-12      -7.233820277801e-15 
  100       3.595853887024e-10       1.039917707288e-13      -3.090009387081e-12       4.109463965984e-16       1.025681210612e-11       1.402854944459e-12      -7.191526649181e-15 
  101       3.637509896518e-10       1.059716237372e-13      -3.178448903413e-12       4.193070074497e-16       9.994952594275e-12       1.374340734204e-12      -7.146978867852e-15 
  102       3.679429415983e-10       1.079303788943e-13      -3.266925983387e-12       4.277598830144e-16       9.741772827242e-12       1.346667451162e-12      -7.099047946394e-15 
  103       3.721600709208e-10       1.098659807405e-13      -3.355368452243e-12       4.363057485544e-16       9.496429786438e-12       1.319733262829e-12      -7.046511774027e-15 
  104       3.764012477935e-10       1.117764010066e-13      -3.443703792805e-12       4.449453344816e-16       9.258144985058e-12       1.293445587595e-12      -6.988364565536e-15 
  105       3.806661833741e-10       1.136598062686e-13      -3.531861952839e-12       4.536792928151e-16       9.026815770801e-12       1.267797006379e-12      -6.924797916603e-15 
  106       3.849547275005e-10       1.155144138199e-13      -3.619772947073e-12       4.625082705428e-16       8.802479849897e-12       1.242798839484e-12      -6.856348476465e-15 
  107       3.892666189953e-10       1.173384416517e-13      -3.707366030400e-12       4.714329356231e-16       8.585125955907e-12       1.218457685916e-12      -6.783599010542e-15 
  108       3.936014813316e-10       1.191301094511e-13      -3.794569722830e-12       4.804539773114e-16       8.374692165421e-12       1.194775252881e-12      -6.707179458674e-15 
  109       3.979588182989e-10       1.208876395984e-13      -3.881311834446e-12       4.895721064878e-16       8.171064213759e-12       1.171748185286e-12      -6.627767993355e-15 
  110       4.023380096685e-10       1.226092581650e-13      -3.967519490352e-12       4.987880559838e-16       7.974073810670e-12       1.149367895239e-12      -6.546092077977e-15 
  111       4.067383068596e-10       1.242931959107e-13      -4.053119155626e-12       5.081025809099e-16       7.783496956033e-12       1.127620391546e-12      -6.462929525067e-15 
  112       4.111588286047e-10       1.259376892815e-13      -4.138036660276e-12       5.175164589822e-16       7.599052255553e-12       1.106486109213e-12      -6.379109554521e-15 
  113       4.155985566157e-10       1.275409814070e-13      -4.222197224190e-12       5.270304908499e-16       7.420399236464e-12       1.085939738941e-12      -6.295513851848e-15 
  114       4.200563312493e-10       1.291013230984e-13      -4.305525482087e-12       5.366455004222e-16       7.247136663229e-12       1.065950056629e-12      -6.213077626402e-15 
  115       4.245308471729e-10       1.306169738458e-13      -4.387945508473e-12       5.463623351957e-16       7.078800853235e-12       1.046479752872e-12      -6.132790669626e-15 
  116       4.290208337286e-10       1.320862497474e-13      -4.469381645245e-12       5.561818425636e-16       6.914967389090e-12       1.027493907310e-12      -6.055490653721e-15 
  117       4.335256301696e-10       1.335076717763e-13      -4.549761045313e-12       5.661047947781e-16       6.755573885696e-12       1.008986945061e-12      -5.981212254697e-15 
  118       4.380446725482e-10       1.348798374972e-13      -4.629011486532e-12       5.761319554368e-16       6.600633485364e-12       9.909586527654e-13      -5.909760513820e-15 
  119       4.425773126032e-10       1.362013771455e-13      -4.707060628419e-12       5.862641027972e-16       6.450134210811e-12       9.734057339425e-13      -5.840910746180e-15 
  120       4.471228150594e-10       1.374709550393e-13      -4.783836044204e-12       5.965020298921e-16       6.304038195072e-12       9.563217149279e-13      -5.774407761980e-15 
  121       4.516803549257e-10       1.386872709923e-13      -4.859265252881e-12       6.068465446438e-16       6.162280911397e-12       9.396968508075e-13      -5.709965087816e-15 
  122       4.562490147941e-10       1.398490617264e-13      -4.933275751252e-12       6.172984699789e-16       6.024770403162e-12       9.235180313521e-13      -5.647264187962e-15 
  123       4.608277821388e-10       1.409551022839e-13      -5.005795045982e-12       6.278586439437e-16       5.891386513769e-12       9.077686869522e-13      -5.585953685653e-15 
  124       4.654155466145e-10       1.420042074407e-13      -5.076750685645e-12       6.385279198179e-16       5.761980116553e-12       8.924286945526e-13      -5.525648584369e-15 
  125       4.700110973556e-10       1.429952331181e-13      -5.146070292775e-12       6.493071662305e-16       5.636372344687e-12       8.774742835867e-13      -5.465929489117e-15 
  126       4.746131202746e-10       1.439270777960e-13      -5.213681595914e-12       6.601972672737e-16       5.514353821084e-12       8.628779419117e-13      -5.406341827718e-15 
