# dimensionless total [l(l+1)/2pi] C_l's
# for l=1 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[2]-dens[2]        4:dens[3]-dens[3]    
  139       9.957282755299e-03       5.637731951976e-03       3.591305957954e-03 
  140       9.995056034348e-03       5.686348424110e-03       3.620209395737e-03 
  141       1.003231243370e-02       5.734816927323e-03       3.649325920638e-03 
  142       1.006908759600e-02       5.783106487890e-03       3.678663550333e-03 
  143       1.010541832826e-02       5.831184581815e-03       3.708230254879e-03 
  144       1.014133944440e-02       5.879020217859e-03       3.738032613761e-03 
  145       1.017687393168e-02       5.926593590851e-03       3.768071650539e-03 
  146       1.021204181965e-02       5.973887328965e-03       3.798346574209e-03 
  147       1.024686324228e-02       6.020883455711e-03       3.828856065687e-03 
  148       1.028135842472e-02       6.067563378615e-03       3.859598264110e-03 
  149       1.031554767003e-02       6.113907877891e-03       3.890570753139e-03 
  150       1.034945134593e-02       6.159897095118e-03       3.921770547260e-03 
  151       1.038308987152e-02       6.205510521912e-03       3.953194078088e-03 
  152       1.041648370402e-02       6.250726988604e-03       3.984837180664e-03 
  153       1.044965332550e-02       6.295524652917e-03       4.016695079762e-03 
  154       1.048261922966e-02       6.339880988634e-03       4.048762376190e-03 
  155       1.051540190849e-02       6.383772774282e-03       4.081033033088e-03 
  156       1.054802183909e-02       6.427176081802e-03       4.113500362236e-03 
  157       1.058049947036e-02       6.470066265224e-03       4.146157010350e-03 
  158       1.061285520973e-02       6.512417949344e-03       4.178994945388e-03 
  159       1.064510940993e-02       6.554205018400e-03       4.212005442851e-03 
  160       1.067728235571e-02       6.595400604745e-03       4.245179072084e-03 
  161       1.070939228282e-02       6.635980662844e-03       4.278506771439e-03 
  162       1.074144926591e-02       6.675935070226e-03       4.311983209372e-03 
  163       1.077346076227e-02       6.715257491146e-03       4.345603695780e-03 
  164       1.080543350883e-02       6.753941884685e-03       4.379363111255e-03 
  165       1.083737349984e-02       6.791982509922e-03       4.413255898397e-03 
  166       1.086928596452e-02       6.829373931102e-03       4.447276053123e-03 
  167       1.090117534482e-02       6.866111022813e-03       4.481417115983e-03 
  168       1.093304527304e-02       6.902188975150e-03       4.515672163465e-03 
  169       1.096489854952e-02       6.937603298887e-03       4.550033799312e-03 
  170       1.099673712036e-02       6.972349830654e-03       4.584494145832e-03 
  171       1.102856205507e-02       7.006424738099e-03       4.619044835209e-03 
  172       1.106037352427e-02       7.039824525065e-03       4.653677000818e-03 
  173       1.109217077736e-02       7.072546036758e-03       4.688381268528e-03 
  174       1.112395212023e-02       7.104586464920e-03       4.723147748026e-03 
  175       1.115571489291e-02       7.135943352996e-03       4.757966024117e-03 
  176       1.118745544727e-02       7.166614601310e-03       4.792825148044e-03 
  177       1.121916912472e-02       7.196598472230e-03       4.827713628795e-03 
  178       1.125085023387e-02       7.225893595346e-03       4.862619424416e-03 
  179       1.128249202821e-02       7.254498972632e-03       4.897529933322e-03 
  180       1.131408804315e-02       7.282415363031e-03       4.932432607153e-03 
  181       1.134563627243e-02       7.309649548463e-03       4.967316861950e-03 
  182       1.137713528162e-02       7.336210417628e-03       5.002172302565e-03 
  183       1.140858286139e-02       7.362107627255e-03       5.036988108415e-03 
  184       1.143997601023e-02       7.387351612350e-03       5.071753027083e-03 
  185       1.147131091713e-02       7.411953596450e-03       5.106455367918e-03 
  186       1.150258294427e-02       7.435925601873e-03       5.141082995640e-03 
  187       1.153378660972e-02       7.459280459970e-03       5.175623323934e-03 
  188       1.156491557012e-02       7.482031821377e-03       5.210063309060e-03 
  189       1.159596260338e-02       7.504194166264e-03       5.244389443445e-03 
  190       1.162691959135e-02       7.525782814589e-03       5.278587749289e-03 
  191       1.165777750256e-02       7.546813936352e-03       5.312643772165e-03 
  192       1.168852637483e-02       7.567304561839e-03       5.346542574620e-03 
  193       1.171915529804e-02       7.587272591880e-03       5.380268729775e-03 
  194       1.174965239679e-02       7.606736808099e-03       5.413806314926e-03 
  195       1.178000481306e-02       7.625716883163e-03       5.447138905147e-03 
  196       1.181019868895e-02       7.644233391038e-03       5.480249566888e-03 
  197       1.184021914935e-02       7.662307817235e-03       5.513120851578e-03 
  198       1.187005028462e-02       7.679962569067e-03       5.545734789224e-03 
  199       1.189967513329e-02       7.697220985896e-03       5.578072882015e-03 
  200       1.192907566475e-02       7.714107349387e-03       5.610116097918e-03 
  201       1.195823605094e-02       7.730644948832e-03       5.641847000060e-03 
  202       1.198715277775e-02       7.746850101802e-03       5.673256317652e-03 
  203       1.201582522334e-02       7.762737725654e-03       5.704336832638e-03 
  204       1.204425242654e-02       7.778323248546e-03       5.735081286020e-03 
  205       1.207243307923e-02       7.793622613942e-03       5.765482377768e-03 
  206       1.210036551880e-02       7.808652285111e-03       5.795532766738e-03 
  207       1.212804772050e-02       7.823429249634e-03       5.825225070583e-03 
  208       1.215547728992e-02       7.837971023903e-03       5.854551865666e-03 
  209       1.218265145535e-02       7.852295657629e-03       5.883505686972e-03 
  210       1.220956706018e-02       7.866421738343e-03       5.912079028025e-03 
  211       1.223622055539e-02       7.880368395898e-03       5.940264340798e-03 
  212       1.226260799187e-02       7.894155306975e-03       5.968054035628e-03 
  213       1.228872501288e-02       7.907802699584e-03       5.995440481127e-03 
  214       1.231456684647e-02       7.921331357569e-03       6.022416004099e-03 
  215       1.234012829783e-02       7.934762625108e-03       6.048972889449e-03 
  216       1.236540374179e-02       7.948118411220e-03       6.075103380098e-03 
  217       1.239038711516e-02       7.961421194266e-03       6.100799676900e-03 
  218       1.241507190918e-02       7.974694026455e-03       6.126053938546e-03 
  219       1.243945116189e-02       7.987960538342e-03       6.150858281489e-03 
  220       1.246351745060e-02       8.001244943337e-03       6.175204779846e-03 
  221       1.248726288426e-02       8.014572042203e-03       6.199085465319e-03 
  222       1.251067909587e-02       8.027967227565e-03       6.222492327106e-03 
  223       1.253375723491e-02       8.041456488407e-03       6.245417311813e-03 
  224       1.255649041574e-02       8.055063242803e-03       6.267853838048e-03 
  225       1.257888125336e-02       8.068798600524e-03       6.289801448572e-03 
  226       1.260093479755e-02       8.082670483013e-03       6.311261457123e-03 
  227       1.262265611866e-02       8.096686735844e-03       6.332235464125e-03 
